         20948676 function calls (19986510 primitive calls) in 125.411 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   249296    0.261    0.000    1.686    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\storage.py:120(__setitem__)
  1262790    0.990    0.000    1.635    0.000 {built-in method builtins.getattr}
    41200    1.600    0.000    1.600    0.000 {built-in method torch.tensor}
    14272    0.021    0.000    1.599    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\nn\aggr\basic.py:19(forward)
    14272    0.041    0.000    1.578    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\nn\aggr\base.py:170(reduce)
    35680    0.079    0.000    1.562    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\nn\conv\message_passing.py:309(_index_select)
    14272    0.058    0.000    1.540    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\linear.py:115(forward)
    10704    0.154    0.000    1.471    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\collate.py:321(<listcomp>)
   249296    0.229    0.000    1.425    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\storage.py:82(_pop_cache)
    39248    1.422    0.000    1.422    0.000 {method 'new_zeros' of 'torch._C.TensorBase' objects}
     2416    1.318    0.001    1.399    0.001 C:\Users\elrod\OneDrive\Code\GNN-DQN-MARL\Agents-4\Baseline1-21\minigrid\environment.py:196(_get_obs)
    35680    0.039    0.000    1.397    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\nn\conv\message_passing.py:315(_index_select_safe)
   231456    0.099    0.000    1.318    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\data.py:654(__inc__)
    77152    0.058    0.000    1.219    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\data.py:612(num_nodes)
   232608    0.594    0.000    1.203    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\module.py:1711(__setattr__)
    21408    1.192    0.000    1.192    0.000 {built-in method torch.cat}
    77152    0.115    0.000    1.160    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\data.py:167(num_nodes)
     2400    0.003    0.000    1.016    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\module.py:2433(eval)
    77152    0.060    0.000    1.010    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\data.py:185(<listcomp>)
    28544    0.998    0.000    0.998    0.000 {method 'scatter_add_' of 'torch._C.TensorBase' objects}
      584    0.021    0.000    0.993    0.002 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\optim\optimizer.py:374(wrapper)
   101072    0.960    0.000    0.960    0.000 {method 'view' of 'torch._C.TensorBase' objects}
      584    0.891    0.002    0.946    0.002 C:\Users\elrod\OneDrive\Code\GNN-DQN-MARL\Agents-4\Baseline1-21\network.py:150(update_priority)
    80720    0.348    0.000    0.934    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\storage.py:66(__init__)
      584    0.012    0.000    0.923    0.002 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\optim\optimizer.py:58(_use_grad)
      584    0.008    0.000    0.904    0.002 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\optim\adam.py:135(step)
    77152    0.053    0.000    0.901    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\data.py:952(x)
    21408    0.036    0.000    0.894    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\activation.py:102(forward)
     3568    0.044    0.000    0.891    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\collate.py:142(<listcomp>)
    21408    0.039    0.000    0.858    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\functional.py:1489(relu)
      584    0.820    0.001    0.820    0.001 C:\Users\elrod\OneDrive\Code\GNN-DQN-MARL\Agents-4\Baseline1-21\network.py:158(<listcomp>)
